Rank,Job role,Experience Level,Experience detail,Job description,Industry,City,Post Code,Pay total,Pay per hour,Start date,Shift
1,Verkaufsmitarbeiter/in / Detailhandel,Ungelernt,"Verkaufsmitarbeiter/in mit Freude am Verkauf und am Umgang mit Kunden. Erste Erfahrungen im Verkauf sind von Vorteil, aber nicht zwingend.","Aufgaben:
- Auffülltätigkeiten (Non Food Bereich)
- Anfallende Reinigungsarbeiten
- Mithilfe im Verkauf
- Kundenberatung

Anforderungen
- Robust (körperlich fit ohne Einschränkungen)
- Konversationssichere Deutschkenntnisse
- Verkaufserfahrungen/Detailhandel (Non Food Bereich) von Vorteil
- Zuverlässigkeit ist für Sie eine Selbstverständlichkeit
- Flexibel

Wichtig:
- Es kann auch vorkommen das man bis zu 41 h pro Woche arbeiten muss
- Einsatzzeiten sind fiktiv und werden vor Ort definiert
- ------ >> Einsatzzeiten sind zwischen 07:00 - 20:00 Uhr! << -------------
 (bei Ihrer Bewerbung gehen wir davon aus, das Sie bei Bedarf auch um 06.30 Uhr starten können)
- Sie sind auch samstags verfügbar (Mo - Sa)
- Es stehen bei der Filiale keine Mitarbeitende PW- Parkplätze zu Verfügung.",Detailhandel / Logistik,Rüschlikon,8803,5670.0,27.0,22 Nov 2023,28
2,Automobil-Fachmann/frau EFZ (Personenwagen),Gelernt,"Die EFZ-Ausbildung ist eine berufliche Grundbildung, welche mindestens 3 Jahre dauert und sowohl theoretische, als auch praktische Elemente beinhaltet. Der EFZ-Fähigkeitsausweis muss auf dem Coople-Account hinterlegt sein.",Mechanische Arbeiten in Autowerkstatt/Reifenwechsel,,Stallikon,8143,5520.0,32.0,22 Nov 2023,23
3,Logistiker/in,Ungelernt,"Personen mit Bereitschaft zu körperlicher Arbeit (z.B. Be-/Entladen von Lastwagen, Einpacken und Rüsten von Sendungen). Handwerkliches Geschick von Vorteil.","Paketsortierer/in 50 -60 % Frühschicht

Du verfügst über gute mündliche und schriftliche Deutschkenntnisse? Arbeiten am frühen Morgen bereitet dir keine Mühe? (ca.03.00 – 08.00) Du bist belastbar, verantwortungsbewusst und eine einsatzfreudige Persönlichkeit? Dann suchen wir genau dich! Dein Aufgabengebiet reicht von der Bedienung der Förderanlage über das Scanning der Pakte bis zum Entladen der Autos. 
Körperliche Fitness ist ein muss, da Pakete bis 30Kg wiegen.

Wir bieten dir:
- Gutes Arbeitsklima
- Familiäre Unternehmenskultur
- Motiviertes und aufgestelltes Team
- Zeitgemässe Arbeitsbedingungen

Bewerber welche an vielen / allen Tagen verfügbar sind werden berücksichtigt. 
Kein ÖV -Anschluss, man muss mobil sein",Promotion / Event,Schwyz,6423,2733.75,27.0,22 Nov 2023,25
4,Lastwagenfahrer/in (ab 3.5T),,,"But du poste:
Acheminer à l'aide d'un véhicule lourds (type camion) des denrées alimentaires (produits frigorifique, fruits/légumes, pains, etc...) à nos divers points de vente sur le canton de Vaud en assurant une qualité de prestations irréprochables.

Niveau de formation:
Permis poids lourds *catégorie C (avec expérience)
Permis de la remorque *catégorie CE (un atout)
CFC conducteur de véhicules lourds (un atout)
Cours OACP à jour
Permis cariste (agréé SUVA)
Français oral / lu / parlé

Compétences professionnelles:
Respecter les règles de sécurité
Respecter la loi sur le travail
Respecter la loi sur l’OTR / LCR / DCR
Respecter les pauses selon les plans de travail
Respecter les règles interne de l’entreprise
Etre Ponctuel / autonome / polyvalent / proactif
Pouvoir effectuer des livraisons en camion
Pouvoir effectuer des livraisons en camionnette
Pouvoir effectuer le chargement/déchargement avec des machines de manutention (Type: Linde T20 S)
Décharger la carte tachygraphe à la fin de chaque fin de journée travaillée
Bonne connaissance de la région Lausannoise (un atout)

Compétences relationnelles et sociales:
Etre positif
Etre disponible / flexible
Savoir s’adapter
Faire preuve de respect / de politesse / de courtoisie
Communiquer clairement

Contraintes du poste:
Travail du lundi au samedi
Début des journées de travail entre 03h30-05h00
Fin des journées de travail entre 15h00-17h00
Résistance au stress
Astreinte visuelle",Promotion / Event,Ecublens,1024,6773.5,31.0,22 Nov 2023,23
5,Produktionsmitarbeiter/in,,,"Dein Aufgabengebiet
-Die Herstellung unserer qualitativ hochstehenden Einzigartigkeiten macht Dir grosse Freude.
- In einer interessanten und abwechslungsreichen Tätigkeit produzierst Du mit deinem Team täglich eine breite Palette von handwerklichen Spezialitäten. 
- Mit unserem einzigartigen Angebot, siehe [link hidden], und Philosophie erfüllst Du Wünsche von unseren Feinschmecker-Kunden auf höchstem Niveau.
- Mit deinem Wesen und Handhabung stellst Du unsere hygienischen Standards sicher.

Dein Profil.
- Du nutzt gerne die Morgenstunden, damit Du am Nachmittag Zeit für Freizeit oder Familie hast. 
- Du bist eine motivierte, engagierte und selbständige Person, hast Spaß an der Arbeit in einem größeren Team und bist zudem ein Frühaufsteher. 
- Du bist mobil oder wohnst in unserer Nähe, damit einem frühen Arbeitsbeginn nichts im Wege steht.
- Du kennst die Bedürfnisse eines Lebensmittelbetriebes und kannst bereits praktische Erfahrungen vorweisen. 
In hektischen Situationen behältst Du einen kühlen Kopf.
- Exaktes, prozessorientiertes Arbeiten ist für dich ein Kinderspiel.
- Du verfügst über sehr gute mündliche Deutschkenntnisse.
- Ein hohes Qualitätsbewusstsein und ein ausgeprägtes hygienisches Verhalten ist für dich eine Grundvoraussetzung.",,Luzern,6005,6711.39,24.12,22 Nov 2023,34
6,Reinigungsmitarbeiter/in,Ungelernt,"Arbeitskraft für Reinigungsarbeiten (z.B. Office, Raumpflege etc.).","Wir suchen dich! Einstieg als Temporärarbeiter mit Option auf Festanstellung bei «». COOPLE bietet:
• Anspruch auf Temptraining Weiterbildungs-Guthaben
• Monatlich Auswahl eines fleißigen Cooplers mit Geschenk und 50.- Gutschein.
• Teilnahme am ""We Are Coopler Wettbewerb"" mit bis zu 500.- Bargeldgewinn.
• Winter-/Sommer-Bonus-Kampagne: Gewinnchance bis CHF 1'000 bei mehr als 5 Schichten.
• Gratis Tagespass für Skigebiet ab 30 Arbeitsstunden, gratis Saisonabo ab 100 Stunden.
• Treuebonus bei Vollzeiteinsatz: 1. Monat - 100 CHF Gutschein, 3. Monat - 150 CHF Gutschein, 6. Monat - 250 CHF Gutschein.

Wir suchen dich als Mitarbeiter bei der . 
arbeiten im 4 Schichtmodel - Früh, Tages, Nacht und Wochenenddienst.
Montag bis Sonntag
Pensum 80-100%
Du musst an allen Wochentagen und zu jeder Zeit arbeiten können
Mobilität muss vorhanden sein oder bis zu 30min Fuss / Veloweg vom Einsatzort

1.) Funktionsumschreibung
Führt sämtliche Reinigungsarbeit im Zug inkl. Entsorgung, Auffüllen von Verbrauchsmaterial und Befüllen von Wassertanks aus. Die Arbeiten fallen im Gleisfeld (Aussenbereich), am Bahnhof oder in einer Unterhaltsanlage (Halle) an.

2.) Aufgabenschwerpunkte
-Abfallentsorgung in den Reisezugwagen.
-Komplettreinigung der Züge (inkl. WC- , Wassertankleerung und Graffitibeseitigung) im Gleisfeld, am Bahnhof oder in einer Unterhaltsanlage.
-Mithilfe bei der Ausübung der Grundreinigung.
-Durchführen der Einzelplatz- und Gruppenreservationen in den Zügen.

Anforderung:
- Kat. B Führerausweis 
- Physische Belastung
- Engagement
- Sicherheits- und Qualitätsanspruch",Gastronomie / Hotel,Zürich,8048,45420.64,25.46,22 Nov 2023,223
7,Reinigungsmitarbeiter/in,Ungelernt,"Arbeitskraft für Reinigungsarbeiten (z.B. Office, Raumpflege etc.).","Wir suchen dich! Einstieg als Temporärarbeiter mit Option auf Festanstellung bei «». COOPLE bietet:
• Anspruch auf Temptraining Weiterbildungs-Guthaben
• Monatlich Auswahl eines fleißigen Cooplers mit Geschenk und 50.- Gutschein.
• Teilnahme am ""We Are Coopler Wettbewerb"" mit bis zu 500.- Bargeldgewinn.
• Winter-/Sommer-Bonus-Kampagne: Gewinnchance bis CHF 1'000 bei mehr als 5 Schichten.
• Gratis Tagespass für Skigebiet ab 30 Arbeitsstunden, gratis Saisonabo ab 100 Stunden.
• Treuebonus bei Vollzeiteinsatz: 1. Monat - 100 CHF Gutschein, 3. Monat - 150 CHF Gutschein, 6. Monat - 250 CHF Gutschein.

!ACHTUNG - SCHICHTZEITEN SIND FIKTIV!

Wir suchen dich als Mitarbeiter bei der . 
arbeiten im 4 Schichtmodel - Früh, Tages, Nacht und Wochenenddienst.
Montag bis Sonntag
Pensum 80-100%
Du musst an allen Wochentagen und zu jeder Zeit arbeiten können
Mobilität muss vorhanden sein oder bis zu 30min Fuss / Veloweg vom Einsatzort

1.) Funktionsumschreibung
Führt sämtliche Reinigungsarbeit im Zug inkl. Entsorgung, Auffüllen von Verbrauchsmaterial und Befüllen von Wassertanks aus. Die Arbeiten fallen im Gleisfeld (Aussenbereich), am Bahnhof oder in einer Unterhaltsanlage (Halle) an.

2.) Aufgabenschwerpunkte
-Abfallentsorgung in den Reisezugwagen.
-Komplettreinigung der Züge (inkl. WC- , Wassertankleerung und Graffitibeseitigung) im Gleisfeld, am Bahnhof oder in einer Unterhaltsanlage.
-Mithilfe bei der Ausübung der Grundreinigung.
-Durchführen der Einzelplatz- und Gruppenreservationen in den Zügen.

Anforderung:
- Kat. B Führerausweis 
- Physische Belastung
- Engagement
- Sicherheits- und Qualitätsanspruch",Gastronomie / Hotel,Zürich,8001,62937.12,25.46,22 Nov 2023,309
8,"Verträger/in / Verteiler/in (Zeitungen, Flyer, Samples)",,,"An unseren zukünftigen Mitarbeiter:

Du arbeitest gerne selbständig und suchst eine Nebenbeschäftigung, mit der du in den Tag starten kannst? Dann sind die Einsätze bei als Frühzusteller*in genau das richtige für dich. Die Einsätze erfolgen von Montag bis Samstag zwischen 05.00 Uhr und 06.30 Uhr. Die Einsätze starten im Depot xx und enden mit dem letzten Briefkasten deiner Tour. Die Entschädigung für den jeweiligen Einsatz erfolgt auf einer Routenberechnung, somit handelt es sich um eine fixe Vergütung von CHF xx für diese Route bei einer realistischen und auf Erfahrungswerten basierenden Zeitannahme von xx Minuten. Das Gute daran, du kannst mit deiner Route auch schneller sein und die Entschädigung bleibt unverändert. Für dein eigenes Fahrzeug erhältst du aufgrund der Routenberechnung eine fixe Entschädigung von CHF xx. 

Wichtig, die Kunden erwarten ihre Zeitung pünktlich im Briefkasten, daher brauchen wir absoluten Verlass auf dich. Bist du ausserdem «wetterfest» und fit, dann sind die Einsätze genau das Richtige für dich!

Zusätzliche Informationen zu deinem Einsatz: 

Die Zeitungen liegen ab 05.00 Uhr für dich bereit. Du prüfst die korrekten Mengen und beladest dein Fahrzeug. Anschliessend bedienst du deine Kunden auf der Tour. Dabei hilft dir ein Tourenbuch mit den Adressen der Kunden, welches wir als App (EZB – Elektronisches Zustellbuch) bereitstellen.",Promotion / Event,Sigriswil,3655,1222.08,25.46,22 Nov 2023,32
9,Reinigungsmitarbeiter/in,Ungelernt,"Arbeitskraft für Reinigungsarbeiten (z.B. Office, Raumpflege etc.).","Wir suchen dich als Mitarbeiter bei der . 
Die Einsatzzeiten sind FIKTIV und werden durch den Einsatzbetrieb zu einem späteren Zeitpunkt kommuniziert.

Wir behalten uns vor, Bewerber direkt abzulehnen die gemäss Profilbeschreibung nicht passen.
Bei Fragen, wende dich bitte direkt an coople und nicht an die .
Die Kommunikation über ausgeschriebene Jobs, geht ausschliesslich über coople.

arbeiten im 4 Schichtmodel - Früh, Tages, Nacht und Wochenenddienst.
Montag bis Sonntag
Pensum 80%
Du musst an allen Wochentagen und zu jeder Zeit arbeiten können
Mobilität muss vorhanden sein oder bis zu 30min Fuss / Veloweg vom Einsatzort

1.) Funktionsumschreibung
Führt sämtliche Reinigungsarbeiten im Zug inkl. Entsorgung, Auffüllen von Verbrauchsmaterial und Befüllen von Wassertanks aus. Die Arbeiten fallen im Gleisfeld (Aussenbereich), am Bahnhof oder in einer Unterhaltsanlage (Halle) an.

2.) Aufgabenschwerpunkte
-Abfallentsorgung in den Reisezugwagen.
-Komplettreinigung der Züge (inkl. WC- , Wassertankleerung und Graffitibeseitigung) im Gleisfeld, am Bahnhof oder in einer Unterhaltsanlage.
-Mithilfe bei der Ausübung von Grundreinigungsarbeiten.
-Durchführen der Einzelplatz- und Gruppenreservationen in den Zügen.

Anforderung:
- Kat. B Führerausweis (nicht zwingend)
- Physische Belastung
- Engagement
- Sicherheits- und Qualitätsanspruch",Gastronomie / Hotel,Rorschach,9400,67536.0,24.12,22 Nov 2023,350
10,Logistiker/in,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Logistiker/in, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.","Wir haben die perfekte Gelegenheit für dich! Suchst du einen Einstieg als Temporärarbeiter mit der Aussicht auf eine Festanstellung bei COOPLE? Hier sind einige der aufregenden Vorteile, die eine Anstellung bei uns mit sich bringt:

• Nutze dein Temptraining-Weiterbildungs-Guthaben. Alle Informationen findest du hier.
• Jeden Monat gibt es ein Geschenk für den fleißigsten Coopler, inklusive eines 50.- Gutscheins.
• Du kannst am ""We Are Coopler Wettbewerb"" teilnehmen und bis zu 500.- Bargeld gewinnen.
• In unserer Winter-/Sommer-Bonus-Kampagne hast du die Chance, CHF 1'000 zu gewinnen, indem du mehr als 5 Schichten innerhalb des Zeitraums absolvierst. Dabei erhöhst du deine Gewinnchance bei Vielfachen von 5 Schichten.

Das Beste daran? 
Deine Treue wird belohnt! Bei einem Vollzeiteinsatz erhältst du einen Bonus von insgesamt 500 CHF, aufgeteilt wie folgt: Nach dem 1. Monat 100 CHF, nach dem 3. Monat 150 CHF und nach dem 6. Monat 250 CHF.

!ACHTUNG - SCHICHTZEITEN SIND FIKTIV!
Arbeitsort Interlaken Ost
Pensum 60 - 100%
Nachtarbeit : Nein
Wochenendarbeit : Ja 
Schichtarbeit : Ja

Uhrzeit erste Schicht
ab sofort - 31.03.2024
Schichtdienste zwischen 05.00 – 01.30

Funktionsumschreibung
• Als Logistiker:in Distribution erwartet dich ein vielseitiges Arbeitsumfeld. Ob Arbeiten mit dem
Stapler, unterwegs mit dem Auto oder direkt am Bahnhof beim Fahrgast, 

Lagerbewirtschaftung
• Als Logistiker:in Distribution sortierst du Reisegepäck, Pakete und Briefe für unsere
Kundinnen und Kunden.
• Diese Sendungen lädst du in Züge und Lieferwagen um.
• Mit unseren Strassenfahrzeugen transportierst du die Sendungen an den Zielort.
• Du sorgst für saubere Innen-und Aussenräume am Bahnhof. Dazu gehört auch die
Bewirtschaftung der Recyclingkette
• Mit verschiedenen Reinigungsfahrzeugen sorgst du für einen sicheren Zugang zum Bahnhof
und den Zügen

Kompetenzen 
• Gegengewichtsstapler (inkl. Schubmaststapler) Fahrausweis
• Deutsch B1
• Kat B ( Auto oder Motorrad muss vorhanden sein )",Promotion / Event,Interlaken,3800,33997.12,32.44,22 Nov 2023,131
