Rank,Job role,Experience Level,Experience detail,Job description,Industry,City,Post Code,Pay total,Pay per hour,Start date,Shift
1,Service Gastronomie,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Restaurationsfachmann/frau, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.","Du bist eine aufgestellte und herzliche Persönlichkeit, welche aus Leidenschaft Gastgeber ist. Mit viel Freude und Engagement verwöhnst du unsere Gäste, behältst den Überblick und hast immer ein Lächeln im Gesicht. 

Dein Einsatz wird in der Gästebetreuung sein. Du begrüsst, betreust und verabschiedest unsere Gäste und sorgst mit deiner charmanten Art für einen unvergesslichen Aufenthalt. Zu deinen Aufgaben gehören die Gästebetreuung, eine saubere und aufgefüllte Station sowie eine super Teamarbeit. 

Das erwarten wir von Dir:

• Berufserfahrung als Commis de Rang in der gehobenen Gastronomie
• Gute mündliche und schriftliche Sprachenkenntnisse in Deutsch und Englisch, jede weitere Sprache von Vorteil
• Gute Produktekenntnisse (Wein, Spirituosen, Käse)
• Ein Verkaufsflair und gute organisatorische Fähigkeiten
• Gute Umgangsformen und Rhetorik, welche dem Niveau eines Erstklasshotels entsprechen

Die angegebene Einsatzzeit kann +/- um eine Stunde variieren, abhängig vom Gästevolumen.",Gastronomie / Hotel,Zürich,8001,272.0,32.0,14 Nov 2023,1
2,Koch/Köchin,Ungelernt mit >20 Monaten Erfahrung,Personen ohne eidgenössisches Fähigkeitszeugnis (EFZ) als Koch mit mehr als 20 Monaten Erfahrung oder Personen mit eidgenössischem Berufsausbildungszertifikat (EBA) und weniger als drei Jahren Berufserfahrung.,"Wir suchen dich für den Late Night Hot Dog Snack am Weltkongress in der Swiss Life Arena.
Sei Teil von etwas super Coolem.",Gastronomie / Hotel,Zürich,8048,644.0,28.0,14 Nov 2023,4
3,Housekeeping,Ungelernt,Zimmermädchen/Zimmerbursche mit mindestens einem Jahr Erfahrung in einem Hotelbetrieb (Zimmerdienst / Housekeeping).,"nous avons besoin d'une personne pour déplacer du mobilier de notre bar 
La personne dois être capable de soulever des charges lourdes",Gastronomie / Hotel,Neuchâtel,2000,717.75,26.1,14 Nov 2023,11
4,Verkaufsmitarbeiter/in / Detailhandel,Ungelernt,"Verkaufsmitarbeiter/in mit Freude am Verkauf und am Umgang mit Kunden. Erste Erfahrungen im Verkauf sind von Vorteil, aber nicht zwingend.","Aufgaben:
- Auffülltätigkeiten (Non Food Bereich)
- Anfallende Reinigungsarbeiten
- Mithilfe im Verkauf
- Kundenberatung

Anforderungen
- Robust (körperlich fit ohne Einschränkungen)
- Konversationssichere Deutschkenntnisse
- Verkaufserfahrungen/Detailhandel (Non Food Bereich) von Vorteil
- Zuverlässigkeit ist für Sie eine Selbstverständlichkeit
- Flexibel

Wichtig:
- Es kann auch vorkommen das man bis zu 41 h pro Woche arbeiten muss
- Einsatzzeiten sind fiktiv und werden vor Ort definiert
- ------ >> Einsatzzeiten sind zwischen 07:00 - 20:00 Uhr! << -------------
 (bei Ihrer Bewerbung gehen wir davon aus, das Sie bei Bedarf auch um 06.30 Uhr starten können)
- Sie sind auch samstags verfügbar (Mo - Sa)
- Es stehen bei der Filiale keine Mitarbeitende PW- Parkplätze zu Verfügung.",Detailhandel / Logistik,Rüschlikon,8803,6682.5,27.0,14 Nov 2023,33
5,Automobil-Fachmann/frau EFZ (Personenwagen),Gelernt,"Die EFZ-Ausbildung ist eine berufliche Grundbildung, welche mindestens 3 Jahre dauert und sowohl theoretische, als auch praktische Elemente beinhaltet. Der EFZ-Fähigkeitsausweis muss auf dem Coople-Account hinterlegt sein.",Mechanische Arbeiten in Autowerkstatt/Reifenwechsel,,Stallikon,8143,6720.0,32.0,14 Nov 2023,28
6,Eventmanagement & Assistenz,Praxiserfahrung >20 Monate oder mit Ausbildung,Erfahrung von mehr als 20 Monaten im Eventmanagement. Oder Abschluss einer Ausbildung im Eventmanagement Bereich. Ausbildungsnachweise müssen im CV und Profil hinterlegt sein.,"We will be managing two locations in Allschwil and Reinach with Office Spaces, CoSpace, Collaboration Rooms as well as Private and Shared Labs.

For the Community in our locations, we create an atmosphere where people can feel their best and do their best. With Community Events and various Activities we enable people to make new connections and thus allow them to find new peers for leisure activities and professional idea exchange. This will be happening in our state-of-the-art CoSpace as well as on our online Community Platform.

We are at the beginning of our journey. We will be creating something unique, and we will do this by diligent preparation, trying out, learning, and continuously improving. We create the Spirit on which our Community thrives. And we will grow together with the challenges we face and opportunities we spot.


Responsibilities


Community Management

Active networking of our members
Initiation, coordination and execution of activities and events for our Community


Hospitality

Execution and coordinatio of various tasks in the CoSpace
Being the go-to person for any concerns and inquiries, executed on-site and online
Generally: keeping the space in good shape and ensuring the best possible stay for our members
Coordination with various service providers


Events

Support in consulting, selling, organising and implementation of events
Support in coordination with partners (F&B, facility services, technology, etc.)


Communication

Co-moderation of the digital communication on our Community Platform
Generally: being the Single Point of Contact on site




What we offer

You can create something with us and you will have a lot of responsibility and autonomy. Sometimes this means going the extra mile, yet the outcomes are very rewarding. The Vibe we are going to create for our Community is the same that we will live. That means that also you will be in an environment where you can feel your best and do your best.",Promotion / Event,Kanton Reinach,4153,17520.0,32.0,15 Nov 2023,73
7,Staplerfahrer/in,SUVA-zugelassene Gabelstaplergenehmigung,"Gabelstaplerfahrer mit SUVA-zugelassener Gabelstaplergenehmigung und ohne
logistische Ausbildung","But du poste
Déplacer les palettes au moyen d’un engin de manutention, afin de les mettre à disposition conformément au processus de
travail des centrales logistiques. Ces déplacements doivent strictement respecter à la fois les normes de sécurité et celles
relatives au respect de la marchandise.
Préparer et filialiser la marchandise afin de satisfaire les commandes des magasins.

Niveau de formation
• Permis de cariste
• Bonnes connaissances du français oral et écrit
• CFC de magasinier ou titre jugé équivalent
• Expérience dans le magasinage

Contraintes du poste
• Travail avec des habits et des chaussures imposés
• Bonne condition physique
• Horaires de nuit et dominical
• Travail dans des entrepôts réfrigérés
• Poste impliquant de la polyvalence
• Travail en mode vocal
• Suivre une productivité donnée
• Etre au bénéfice d’un moyen de locomotion à titre privé

Compétences professionnelles 
• Avoir de bonnes capacités d’organisation
• Faire preuve de grande précision et de rigueur
• Savoir tenir une cadence
• Connaître et respecter les normes de sécurité en vigueur

Compétences relationnelles et sociales
• Etre proactif
• Etre ouvert au changement
• Etre ouvert au dialogue
• Etre autonome
• Avoir une bonne résistance au stress
• Savoir travailler en équipe
• Etre respectueux
• Capable de travailler de manière autonome
• Avoir le sens de l’initiative
• Etre ponctuel",Promotion / Event,Ecublens,1024,2380.51,25.46,15 Nov 2023,11
13,"Verträger/in / Verteiler/in (Zeitungen, Flyer, Samples)",,,"An unseren zukünftigen Mitarbeiter:

Du arbeitest gerne selbständig und suchst eine Nebenbeschäftigung, mit der du in den Tag starten kannst? Dann sind die Einsätze bei als Frühzusteller*in genau das richtige für dich. Die Einsätze erfolgen von Montag bis Samstag zwischen 05.00 Uhr und 06.30 Uhr. Die Einsätze starten im Depot xx und enden mit dem letzten Briefkasten deiner Tour. Die Entschädigung für den jeweiligen Einsatz erfolgt auf einer Routenberechnung, somit handelt es sich um eine fixe Vergütung von CHF xx für diese Route bei einer realistischen und auf Erfahrungswerten basierenden Zeitannahme von xx Minuten. Das Gute daran, du kannst mit deiner Route auch schneller sein und die Entschädigung bleibt unverändert. Für dein eigenes Fahrzeug erhältst du aufgrund der Routenberechnung eine fixe Entschädigung von CHF xx. 

Wichtig, die Kunden erwarten ihre Zeitung pünktlich im Briefkasten, daher brauchen wir absoluten Verlass auf dich. Bist du ausserdem «wetterfest» und fit, dann sind die Einsätze genau das Richtige für dich!

Zusätzliche Informationen zu deinem Einsatz: 

Die Zeitungen liegen ab 05.00 Uhr für dich bereit. Du prüfst die korrekten Mengen und beladest dein Fahrzeug. Anschliessend bedienst du deine Kunden auf der Tour. Dabei hilft dir ein Tourenbuch mit den Adressen der Kunden, welches wir als App (EZB – Elektronisches Zustellbuch) bereitstellen.",Promotion / Event,Sigriswil,3655,1451.22,25.46,15 Nov 2023,38
14,Reinigungsmitarbeiter/in,Ungelernt,"Arbeitskraft für Reinigungsarbeiten (z.B. Office, Raumpflege etc.).","Wir suchen dich als Mitarbeiter bei der . 
Die Einsatzzeiten sind FIKTIV und werden durch den Einsatzbetrieb zu einem späteren Zeitpunkt kommuniziert.

Wir behalten uns vor, Bewerber direkt abzulehnen die gemäss Profilbeschreibung nicht passen.
Bei Fragen, wende dich bitte direkt an coople und nicht an die .
Die Kommunikation über ausgeschriebene Jobs, geht ausschliesslich über coople.

arbeiten im 4 Schichtmodel - Früh, Tages, Nacht und Wochenenddienst.
Montag bis Sonntag
Pensum 80%
Du musst an allen Wochentagen und zu jeder Zeit arbeiten können
Mobilität muss vorhanden sein oder bis zu 30min Fuss / Veloweg vom Einsatzort

1.) Funktionsumschreibung
Führt sämtliche Reinigungsarbeiten im Zug inkl. Entsorgung, Auffüllen von Verbrauchsmaterial und Befüllen von Wassertanks aus. Die Arbeiten fallen im Gleisfeld (Aussenbereich), am Bahnhof oder in einer Unterhaltsanlage (Halle) an.

2.) Aufgabenschwerpunkte
-Abfallentsorgung in den Reisezugwagen.
-Komplettreinigung der Züge (inkl. WC- , Wassertankleerung und Graffitibeseitigung) im Gleisfeld, am Bahnhof oder in einer Unterhaltsanlage.
-Mithilfe bei der Ausübung von Grundreinigungsarbeiten.
-Durchführen der Einzelplatz- und Gruppenreservationen in den Zügen.

Anforderung:
- Kat. B Führerausweis (nicht zwingend)
- Physische Belastung
- Engagement
- Sicherheits- und Qualitätsanspruch",Gastronomie / Hotel,Rorschach,9400,68886.72,24.12,15 Nov 2023,357
16,Reinigungsmitarbeiter/in,Ungelernt,"Arbeitskraft für Reinigungsarbeiten (z.B. Office, Raumpflege etc.).","Wir suchen dich! Einstieg als Temporärarbeiter mit Option auf Festanstellung bei «». COOPLE bietet:
• Anspruch auf Temptraining Weiterbildungs-Guthaben
• Monatlich Auswahl eines fleißigen Cooplers mit Geschenk und 50.- Gutschein.
• Teilnahme am ""We Are Coopler Wettbewerb"" mit bis zu 500.- Bargeldgewinn.
• Winter-/Sommer-Bonus-Kampagne: Gewinnchance bis CHF 1'000 bei mehr als 5 Schichten.
• Gratis Tagespass für Skigebiet ab 30 Arbeitsstunden, gratis Saisonabo ab 100 Stunden.
• Treuebonus bei Vollzeiteinsatz: 1. Monat - 100 CHF Gutschein, 3. Monat - 150 CHF Gutschein, 6. Monat - 250 CHF Gutschein.

Wir behalten uns vor, Bewerber direkt abzulehnen die gemäss Profilbeschreibung nicht passen.
Bei Fragen, wende dich bitte direkt an coople und nicht an die .
Die Kommunikation über ausgeschriebene Jobs, geht ausschliesslich über coople.

Arbeiten im 4 Schichtmodel - Früh, Tages, Nacht und Wochenenddienst.
Montag bis Sonntag
Pensum 100%
Du musst an allen Wochentagen und zu jeder Zeit arbeiten können
Mobilität muss vorhanden sein oder bis zu 30min Fuss / Veloweg vom Einsatzort

1.) Funktionsumschreibung
Trägt durch selbstständiges Arbeiten in der und der Abfallentsorgung in Bahnhöfen und anderen zugewiesenen Objekten zur Zufriedenheit unserer Kunden:innen bei.
Verantwortet die Sauberkeit, die Ordnung sowie die Beseitigung von Schäden durch Vandalismus, damit sich unsere Kunden:innen in unseren Bahnhöfen und anderen Objekten sicher fühlen.
Hält Verfahren, Arbeitsmethoden und Reinigungsprotokolle bei der Ausführung der Aufgaben ein.
Stellt sicher, dass die Verfahren, Arbeitsmethoden und Reinigungsprotokolle von den Teams angewendet werden und dass die Lagerbereiche entsprechend den Anforderungen organisiert sind.


3Anforderung
- Kat. B Führerausweis (zwingend)
- Deutsch min. B2 Niveau (zwingend)",Gastronomie / Hotel,Wattwil,9630,68693.76,24.12,15 Nov 2023,356
