Rank,Job role,Experience Level,Experience detail,Job description,Industry,City,Post Code,Pay total,Pay per hour,Start date,Shift
1,Verkaufsmitarbeiter/in / Detailhandel,Ungelernt,"Verkaufsmitarbeiter/in mit Freude am Verkauf und am Umgang mit Kunden. Erste Erfahrungen im Verkauf sind von Vorteil, aber nicht zwingend.","Aufgaben:
- Auffülltätigkeiten (Non Food Bereich)
- Anfallende Reinigungsarbeiten
- Mithilfe im Verkauf
- Kundenberatung

Anforderungen
- Robust (körperlich fit ohne Einschränkungen)
- Konversationssichere Deutschkenntnisse
- Verkaufserfahrungen/Detailhandel (Non Food Bereich) von Vorteil
- Zuverlässigkeit ist für Sie eine Selbstverständlichkeit
- Flexibel

Wichtig:
- Es kann auch vorkommen das man bis zu 41 h pro Woche arbeiten muss
- Einsatzzeiten sind fiktiv und werden vor Ort definiert
- ------ >> Einsatzzeiten sind zwischen 07:00 - 20:00 Uhr! << -------------
 (bei Ihrer Bewerbung gehen wir davon aus, das Sie bei Bedarf auch um 06.30 Uhr starten können)
- Sie sind auch samstags verfügbar (Mo - Sa)
- Es stehen bei der Filiale keine Mitarbeitende PW- Parkplätze zu Verfügung.",Detailhandel / Logistik,Rüschlikon,8803,7695.0,27.0,8 Nov 2023,38
2,Koch/Köchin,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Koch/Köchin, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.","Tournant, Einsatz ab 1. November bis 30. November 2023, Tage und Schichten nach Absprache 

Sie sind ein erfahrener und engagierter Koch oder eine Köchin, und suchen Arbeit in einem lebhaften Betrieb? Dann haben wir die perfekte Gelegenheit für Sie! Der Gasthof in Thun sucht einen Tournant für den Zeitraum vom 1. November bis 30. November 2023.

Als Tournant sind Sie für die Zubereitung von qualitativ hochwertigen Speisen und die Unterstützung des Küchenteams verantwortlich. Sie haben Kenntnisse in verschiedenen Küchenbereichen und können flexibel in verschiedenen Schichten arbeiten. Ihre Einsatzzeiten werden nach Absprache festgelegt. 

Wenn Sie eine Leidenschaft für Kochen haben, teamorientiert sind und bereit sind, während des angegebenen Zeitraums zu arbeiten, dann freuen wir uns auf Ihre Bewerbung! Werden Sie Teil unseres Teams im .",Gastronomie / Hotel,Thun,3604,6037.5,35.0,8 Nov 2023,23
4,Eventmanagement & Assistenz,Praxiserfahrung >20 Monate oder mit Ausbildung,Erfahrung von mehr als 20 Monaten im Eventmanagement. Oder Abschluss einer Ausbildung im Eventmanagement Bereich. Ausbildungsnachweise müssen im CV und Profil hinterlegt sein.,"We will be managing two locations in Allschwil and Reinach with Office Spaces, CoSpace, Collaboration Rooms as well as Private and Shared Labs.

For the Community in our locations, we create an atmosphere where people can feel their best and do their best. With Community Events and various Activities we enable people to make new connections and thus allow them to find new peers for leisure activities and professional idea exchange. This will be happening in our state-of-the-art CoSpace as well as on our online Community Platform.

We are at the beginning of our journey. We will be creating something unique, and we will do this by diligent preparation, trying out, learning, and continuously improving. We create the Spirit on which our Community thrives. And we will grow together with the challenges we face and opportunities we spot.


Responsibilities


Community Management

Active networking of our members
Initiation, coordination and execution of activities and events for our Community


Hospitality

Execution and coordinatio of various tasks in the CoSpace
Being the go-to person for any concerns and inquiries, executed on-site and online
Generally: keeping the space in good shape and ensuring the best possible stay for our members
Coordination with various service providers


Events

Support in consulting, selling, organising and implementation of events
Support in coordination with partners (F&B, facility services, technology, etc.)


Communication

Co-moderation of the digital communication on our Community Platform
Generally: being the Single Point of Contact on site




What we offer

You can create something with us and you will have a lot of responsibility and autonomy. Sometimes this means going the extra mile, yet the outcomes are very rewarding. The Vibe we are going to create for our Community is the same that we will live. That means that also you will be in an environment where you can feel your best and do your best.",Promotion / Event,Kanton Reinach,4153,18720.0,32.0,8 Nov 2023,78
5,Produktionsmitarbeiter/in,,,"Bei der AG herrschen strenge Hygienevorschriften, an welche sich alle Mitarbeitenden sowie Aushilfen zu halten haben.
Ein gepflegtes Auftreten ist erwünscht. Nicht erlaubt sind lange, lackierte und künstliche Fingernägel sowie falsche und extrem geschminkte Wimpern. Ebenfalls ist das Tragen von Schmuck und Uhren untersagt. Der Bart darf die Maximallänge von höchstens 3mm nicht übersteigen, ansonsten muss ein Bartschutz getragen werden. Die Einkleidung geschieht vor Ort. 
 
Die AG verfügt über eine Kantine sowie einen Pausenraum. Die Verpflegung, welche selbst mitgebracht werden muss, kann in einer der zur Verfügung stehenden Mikrowellen aufgewärmt resp. in einem der Kühlschränke kaltgestellt werden (bitte gut leserlich mit Namen beschriften). Getränke und Kaffee können ebenfalls in der Kantine bezogen werden (Kaffee 0,50 CHF, Kalte Getränke 1, 50 CHF).

Am Tag des Einsatzes:
- am besten 10-15 Minuten früher als angegeben erscheinen.
- mit dem QR-Code ein - und aus-checken.
- Unsere Garderoben- und Toiletten-Regeln genau durchlesen - die Regeln hängen an den Türen der Garderoben und Toiletten.",,Rüti,8630,547.39,25.46,8 Nov 2023,3
6,Logistiker/in,Ungelernt,"Personen mit Bereitschaft zu körperlicher Arbeit (z.B. Be-/Entladen von Lastwagen, Einpacken und Rüsten von Sendungen). Handwerkliches Geschick von Vorteil.","Paketsortierer/in 40-50% Frühschicht

Du verfügst über gute mündliche und schriftliche Deutschkenntnisse? Arbeiten am frühen Morgen bereitet dir keine Mühe? (ca.03.00 – 08.00) Du bist belastbar, verantwortungsbewusst und eine einsatzfreudige Persönlichkeit? Dann suchen wir genau dich! Dein Aufgabengebiet reicht von der Bedienung der Förderanlage über das Scanning der Pakte bis zum Entladen der Autos. 
Körperliche Fitness ist ein muss, da Pakete bis 30Kg wiegen.

Wir bieten dir:
- Gutes Arbeitsklima
- Familiäre Unternehmenskultur
- Motiviertes und aufgestelltes Team
- Zeitgemässe Arbeitsbedingungen

Bewerber welche an vielen / allen Tagen verfügbar sind werden berücksichtigt. 
Kein ÖV -Anschluss, man muss mobil sein",Promotion / Event,Schwyz,6423,3395.25,27.0,8 Nov 2023,31
7,Reinigungsmitarbeiter/in,Ungelernt,"Arbeitskraft für Reinigungsarbeiten (z.B. Office, Raumpflege etc.).","***POOLAUFBAU***

!ACHTUNG - SCHICHTZEITEN SIND FIKTIV!

Wir suchen dich als Mitarbeiter bei der . 
arbeiten im 4 Schichtmodel - Früh, Tages, Nacht und Wochenenddienst.
Montag bis Sonntag
Pensum 80-100%
Du musst an allen Wochentagen und zu jeder Zeit arbeiten können
Mobilität muss vorhanden sein oder bis zu 30min Fuss / Veloweg vom Einsatzort

1.) Funktionsumschreibung
Führt sämtliche Reinigungsarbeit im Zug inkl. Entsorgung, Auffüllen von Verbrauchsmaterial und Befüllen von Wassertanks aus. Die Arbeiten fallen im Gleisfeld (Aussenbereich), am Bahnhof oder in einer Unterhaltsanlage (Halle) an.

2.) Aufgabenschwerpunkte
-Abfallentsorgung in den Reisezugwagen.
-Komplettreinigung der Züge (inkl. WC- , Wassertankleerung und Graffitibeseitigung) im Gleisfeld, am Bahnhof oder in einer Unterhaltsanlage.
-Mithilfe bei der Ausübung der Grundreinigung.
-Durchführen der Einzelplatz- und Gruppenreservationen in den Zügen.

Anforderung:
- Kat. B Führerausweis 
- Physische Belastung
- Engagement
- Sicherheits- und Qualitätsanspruch",Gastronomie / Hotel,Zürich,8001,65788.64,25.46,8 Nov 2023,323
8,Logistiker/in,Ungelernt mit >20 Monaten Erfahrung,Der Nachweis über >20 Monate Praxiserfahrung in der auszuübenden Tätigkeit muss im CV aufgeführt sein. Personen mit einer abgeschlossenen Berufsausbildung im Logistikbereich müssen sich im entsprechenden Jobprofil registrieren.,"!ACHTUNG: Die angegebenen Schichten sind fiktiv und weichen vom echten Dienstplan ab!
Bei Fragen zu diesem Job bitte Coople und nicht direkt kontaktieren!

Die Schichten können zwischen 05.00 - 00.00 Uhr stattfinden 
(100% Pensum)

Logistiker EFZ/EBA
Sehr gute SAP Kenntnisse
Deutsch B1
Gegengewichtsstapler (inkl. Schubmaststapler) Fahrausweis


Funktionsumschreibung
Stellt als Mitarbeiter/in die Lagerbewirtschaftung mittels Gegengewichtstapler und
Schubmaststapler sicher und führt Tätigkeiten in Kommissionierung, Verpackung, Transport
sowie Verbuchung im System aus.

Aufgabenschwerpunkte : 
Lagerbewirtschaftung
• Ein- und Auslagerungen sowie Verdichtung (Zusammenführen) von Material Pflege von Mindesthaltbarkeitsdaten und Q-kritischen Artikeln (First in – First out Prinzip)
• Bewirtschaftung des Sperr- sowie Gefahrengutlager
• Sicherstellung der Sauberkeit & Sicherheit der eingesetzten Gerätschaften (Stapler / Kran)

Kommissionierung und Konfektionierung
• Zusammenführen von verschiedenen Artikeln gem. Reservierung / Bestellung
• Verpacken/Umpacken von Sendungen

Verbuchungen in SAP und weiteren Systemen / Transporte
• Korrekte Verbuchungen in SAP vornehmen (z.B. Warenein- und Ausgänge, Q-Bestände)
• Verantwortet den internen/externen Transport gemäss Auftrag",Promotion / Event,Trimbach,4632,56745.6,27.6,8 Nov 2023,257
10,Logistiker/in,Ungelernt mit >20 Monaten Erfahrung,Der Nachweis über >20 Monate Praxiserfahrung in der auszuübenden Tätigkeit muss im CV aufgeführt sein. Personen mit einer abgeschlossenen Berufsausbildung im Logistikbereich müssen sich im entsprechenden Jobprofil registrieren.,"!ACHTUNG: Die angegebenen Schichten sind fiktiv und weichen vom echten Dienstplan ab!
Bei Fragen zu diesem Job bitte Coople und nicht direkt kontaktieren!

Die Schichten können zwischen 05.00 - 00.00 Uhr stattfinden 
(100% Pensum)

• Als Logistiker:in Distribution sortierst du Reisegepäck, Pakete und Briefe für unsere Kundinnen und
Kunden.
• Diese Sendungen lädst du in Züge und Lieferwagen um.
• Mit unseren Strassenfahrzeugen transportierst du die Sendungen an den Zielort

• Deutsch B1
• Du besitzt den Führerausweis Kategorie B. 
• Von Vorteil ist der Staplerausweis oder bist bereit, diesen
rasch zu absolvieren.
• Du hast Erfahrung in der oder im Strassentransport",Promotion / Event,Brig-Glis,3900,79267.2,27.6,8 Nov 2023,359
12,Reinigungsmitarbeiter/in,Ungelernt,"Arbeitskraft für Reinigungsarbeiten (z.B. Office, Raumpflege etc.).","!ACHTUNG - SCHICHTZEITEN SIND FIKTIV!

Wir suchen dich als Mitarbeiter bei der . 
arbeiten im 4 Schichtmodel - Früh, Tages, Nacht und Wochenenddienst.
Montag bis Sonntag
Pensum 80%
Du musst an allen Wochentagen und zu jeder Zeit arbeiten können
Mobilität muss vorhanden sein oder bis zu 30min Fuss / Veloweg vom Einsatzort

1.) Funktionsumschreibung
Führt sämtliche Reinigungsarbeit im Zug inkl. Entsorgung, Auffüllen von Verbrauchsmaterial und Befüllen von Wassertanks aus. Die Arbeiten fallen im Gleisfeld (Aussenbereich), am Bahnhof oder in einer Unterhaltsanlage (Halle) an.

2.) Aufgabenschwerpunkte
-Abfallentsorgung in den Reisezugwagen.
-Komplettreinigung der Züge (inkl. WC- , Wassertankleerung und Graffitibeseitigung) im Gleisfeld, am Bahnhof oder in einer Unterhaltsanlage.
-Mithilfe bei der Ausübung der Grundreinigung.
-Durchführen der Einzelplatz- und Gruppenreservationen in den Zügen.

Anforderung:
- Kat. B Führerausweis 
- Physische Belastung
- Engagement
- Sicherheits- und Qualitätsanspruch",Gastronomie / Hotel,Chur,7000,69272.64,24.12,8 Nov 2023,359
13,Reinigungsmitarbeiter/in,Ungelernt,"Arbeitskraft für Reinigungsarbeiten (z.B. Office, Raumpflege etc.).","Die Einsatzzeiten sind FIKTIV und werden durch den Einsatzbetrieb zu einem späteren Zeitpunkt kommuniziert.

Wir behalten uns vor, Bewerber direkt abzulehnen die gemäss Profilbeschreibung nicht passen.
Bei Fragen, wende dich bitte direkt an coople und nicht an die .
Die Kommunikation über ausgeschriebene Jobs, geht ausschliesslich über coople.

Wir suchen dich als Mitarbeiter bei der . 
arbeiten im 4 Schichtmodel - Früh, Tages, Nacht und Wochenenddienst.
Montag bis Sonntag
Pensum 80-100%
Du musst an allen Wochentagen und zu jeder Zeit arbeiten können
Mobilität muss vorhanden sein oder bis zu 30min Fuss / Veloweg vom Einsatzort

1.) Funktionsumschreibung
Führt sämtliche Reinigungsarbeit im Zug inkl. Entsorgung, Auffüllen von Verbrauchsmaterial und Befüllen von Wassertanks aus. Die Arbeiten fallen im Gleisfeld (Aussenbereich), am Bahnhof oder in einer Unterhaltsanlage (Halle) an.

2.) Aufgabenschwerpunkte
-Abfallentsorgung in den Reisezugwagen.
-Komplettreinigung der Züge (inkl. WC- , Wassertankleerung und Graffitibeseitigung) im Gleisfeld, am Bahnhof oder in einer Unterhaltsanlage.
-Mithilfe bei der Ausübung der Grundreinigung.
-Durchführen der Einzelplatz- und Gruppenreservationen in den Zügen.

Anforderung:
- Kat. B Führerausweis 
- Physische Belastung
- Engagement
- Sicherheits- und Qualitätsanspruch",Gastronomie / Hotel,Winterthur,8400,65177.6,25.46,8 Nov 2023,320
